#1.2										
16672	9									
NAME	DESCRIPTION	S89	S88	S87	S84	S85	S83	S117	S116	S115
ENSMUSG00000001700	na	3890.22	1296.45	4820.42	2724.81	2646.38	2850.05	3177.32	3622.99	2837.87
ENSMUSG00000001707	na	726	1360.98	694.204	720.048	747.191	923.164	778.265	752.043	599.279
ENSMUSG00000001729	na	3251.01	3376.18	3353.96	5233.01	5475.33	3298.52	6068.1	3724.5	6706.1
ENSMUSG00000001739	na	4.56604	4.50157	4.10772	31.3714	28.9137	12.2621	12.0557	30.0817	19.4661
ENSMUSG00000001741	na	51.7484	142.55	80.1005	103.077	164.352	115.614	176.818	110.926	136.263
ENSMUSG00000001750	na	2992.29	4413.03	4504.09	2306.55	2873.13	3251.22	2646.91	3688.77	3303.68
ENSMUSG00000001751	na	617.937	552.193	1129.62	1686.58	1474.6	1255.99	1127.88	780.245	1422.42
ENSMUSG00000001755	na	1359.15	1736.1	2602.25	5905.24	6869.34	3119.83	5975.7	2602.05	6927.38
ENSMUSG00000001761	na	129.371	354.124	330.671	367.493	398.705	297.795	308.091	169.21	285.04
ENSMUSG00000001763	na	330.277	394.639	336.833	950.104	891.759	373.119	601.446	229.373	538.1
ENSMUSG00000001767	na	1972.53	1607.06	1797.13	1319.09	1194.59	1247.23	1121.18	1992.92	1048.39
ENSMUSG00000001768	na	246.566	390.137	256.732	537.793	779.148	366.112	719.326	513.269	1077.59
ENSMUSG00000001774	na	3203.83	3601.26	2080.56	5277.85	4645.99	1450.43	4851.78	2320.05	4065.63
ENSMUSG00000001783	na	4149.01	3134.59	4859.42	3659.99	3183.54	5358.55	3141.19	5318.82	3598.45
ENSMUSG00000001785	na	1346.98	1146.4	1544.5	1029.28	967.846	1509.99	965.799	1983.51	848.166
ENSMUSG00000001786	na	925.382	880.806	948.884	924.712	945.022	902.142	853.277	834.767	948.279
ENSMUSG00000001794	na	3374.29	3691.31	5461.18	6121.89	5902.93	6530.47	4707.09	4218.94	4859.62
ENSMUSG00000001802	na	581.409	816.285	840.028	1613.39	1689.16	683.177	1624.85	434.305	1587.88
ENSMUSG00000001829	na	2013.63	1794.62	2125.74	2067.52	2069.6	1720.2	2172.71	2235.45	2142.66
ENSMUSG00000001833	na	5719.63	4285.54	4097.5	3391.11	3157.69	3920.4	3995.79	4848.83	3829.27
ENSMUSG00000001844	na	709.257	762.266	1084.44	866.447	864.367	1340.08	822.469	1231.47	927.423
ENSMUSG00000001847	na	10722.5	9573.05	10498.9	9733.93	9392.77	11757.1	9578.07	11942.5	9843.37
ENSMUSG00000001855	na	1009.09	762.266	1369.92	1014.34	1304.16	1411.9	1319.43	1372.48	1080.37
